"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"01330","綠色動力環保","公共事業","主板",1000,"53.10","34.50億",3.45,3.77,"50.00"
"03903","瀚華金控","券商信托","主板",2000,"0.23","74.52億",1.62,1.63,"100.00"
"02014","浩澤凈水","家電家用","主板",1000,"44.99","45.58億",2.7,2.99,"100.00"
"06198","青島港","貨運物流","主板",1000,"0.15","176.94億",3.76,3.71,"100.00"
"02303","恒興黃金","貴金屬","主板",2000,"1.52","14.80億",1.6,1.64,"100.00"
"02111","超盈國際控股","紡織服飾","主板",2000,"1.80","21.50億",2.15,2.12,"100.00"
"01397","碧瑤綠色集團","居民服務","主板",4000,"429.82","4.80億",1.2,1.24,"38.00"
"01771","新豐泰集團","汽車","主板",1000,"1.23","21.66億",3.61,3.88,"100.00"
"01400","宏太控股","紡織服飾","主板",5000,"3.22","7.20億",0.72,0.77,"100.00"
"02100","百奧家庭互動","軟件服務","主板",2000,"0.89","60.73億",2.15,1.77,"100.00"
"06138","哈爾濱銀行","銀行","主板",1000,"0.27","318.87億",2.9,2.91,"100.00"
"00798","光谷聯合","地產","主板",4000,"0.39","33.20億",0.83,0.76,"100.00"
"02255","海昌控股","餐飲娛樂","主板",1000,"4.65","98.00億",2.45,2.02,"100.00"
"02608","陽光100中國","地產","主板",1000,"0.62","80.00億",4,3.74,"100.00"
"03636","保利文化","居民服務","主板",100,"606.00","77.78億",33,42.6,"60.00"
"01340","惠生國際","農業產品","主板",2000,"2188.16","8.20億",2.05,2.06,"4.00"
"01636","中國金屬利用","一般金屬","主板",4000,"17.92","23.71億",1.13,0.98,"100.00"
"01622","力高地產","地產","主板",2000,"3.51","40.00億",2.5,2.61,"100.00"
"02638","港燈-SS","公共事業","主板",500,"7.46","481.57億",5.45,5.34,"100.00"
"02226","老恒和釀造","食品飲料","主板",500,"1045.46","35.75億",7.15,8.27,"20.00"
"02080","MAGNUM ENT","餐飲娛樂","主板",2000,"3559.20","4.50億",1.5,2.84,"1.00"
"01247","米格國際控股","紡織服飾","主板",2000,"1126.04","18.24億",2.28,2.81,"3.00"
"03332","中生聯合","醫療保健","主板",2000,"187.93","--",2,2.66,"100.00"
"01439","中華包裝控股","工用支援","主板",5000,"294.50","4.08億",0.51,0.81,"80.02"
"01353","諾奇","紡織服飾","主板",1000,"1.04","--",2.13,2.13,"100.00"
"01421","工蓋有限公司","建筑","主板",5000,"15.90","3.20億",0.5,0.6,"100.00"
"03313","雅高礦業","一般金屬","主板",1000,"0.31","35.33億",2.65,2.52,"100.00"
"01678","中國創意家居","家電家用","主板",2000,"1.29","32.40億",1.8,1.89,"100.00"
"01819","富貴鳥","紡織服飾","主板",400,"0.68","46.99億",8.81,8.84,"100.00"
"02283","東江集團控股","工業制造","主板",2000,"3.33","10.00億",1.25,1.24,"60.04"
"03380","龍光地產","地產","主板",2000,"1.02","105.00億",2.1,2.15,"100.00"
"06818","中國光大銀行","銀行","主板",1000,"1.91","--",3.98,3.87,"100.00"
"00586","海螺創業","工業制造","主板",500,"16.51","239.33億",13.56,16.8,"100.00"
"00636","嘉里物流","貨運物流","主板",500,"37.00","169.05億",10.2,10.22,"100.00"
"01390","環亞智富","軟件服務","主板",1000,"86.70","--",3.59,4.62,"80.00"
"01448","福壽園","居民服務","主板",1000,"681.30","66.60億",3.33,4.82,"70.00"
"01681","康臣藥業","醫療保健","主板",1000,"129.50","43.60億",4.36,4.9,"100.00"
"01359","中國信達","其他金融","主板",1000,"161.13","1269.43億",3.58,4.5,"100.00"
"02211","金天醫藥集團","醫療保健","主板",1000,"7.65","58.20億",2.91,2.37,"100.00"
"03369","秦港股份","貨運物流","主板",500,"0.73","293.34億",5.25,4.92,"100.00"
"01233","時代地產","地產","主板",1000,"1.21","62.03億",3.6,3.55,"100.00"
"01372","怡益控股","建筑","主板",2000,"31.74","2.49億",1.2,1.28,"100.00"
"02213","益華百貨","零售","主板",2000,"3.24","5.04億",1.4,1.48,"100.00"
"03386","東鵬控股","建筑","主板",1000,"0.60","36.66億",2.94,2.7,"100.00"
"01689","華禧控股","工用支援","主板",2000,"9.84","4.05億",1.35,1.5,"100.00"
"01268","美東汽車","汽車","主板",2000,"1.75","18.00億",1.8,1.72,"100.00"
"01426","春泉產業信托","地產","主板",1000,"0.16","41.83億",3.81,3.2,"100.00"
"03315","金邦達寶嘉","通訊器材","主板",1000,"44.13","43.12億",5.39,6.79,"100.00"
"01884","eprint集團","工用支援","主板",4000,"18.48","3.90億",0.78,0.72,"50.08"
"01515","鳳凰醫療","居民服務","主板",500,"534.40","59.31億",7.38,10,"100.00"
"01370","恒實礦業","一般金屬","主板",1000,"0.79","48.00億",3.2,3.08,"100.00"
"03608","永盛新材料","紡織服飾","主板",2500,"17.22","4.72億",1.18,1.21,"60.16"
"01431","原生態牧業","食品飲料","主板",1000,"13.89","105.54億",2.7,2.6,"100.00"
"03623","集成金融","其他金融","主板",2000,"21.53","10.72億",2.68,2.81,"100.00"
"00434","博雅互動","軟件服務","主板",1000,"832.33","39.46億",5.35,6.09,"10.00"
"03698","徽商銀行","銀行","主板",1000,"10.79","376.82億",3.53,3.6,"100.00"
"01358","普華和順","醫療保健","主板",1000,"20.33","50.88億",3.18,3.51,"80.12"
"01360","MEGAEXPO HLDG","居民服務","主板",2000,"342.71","2.66億",1.33,1.42,"2.16"
"01963","重慶銀行","銀行","主板",500,"8.81","161.44億",6,5.99,"100.00"
"01345","中國先鋒醫藥","醫療保健","主板",1000,"17.40","54.67億",4.1,3.84,"100.00"
"00153","中國賽特","建筑","主板",2000,"15.51","16.48億",1.03,0.98,"100.00"
"01396","毅德國際","地產","主板",2000,"3.73","86.39億",2.15,2.15,"100.00"
"01862","景瑞控股","地產","主板",1000,"1.56","55.79億",4.45,4.4,"100.00"
"01290","中國匯融","其他金融","主板",2000,"243.10","22.35億",2.18,2.18,"100.00"
"02030","卡賓","紡織服飾","主板",1000,"12.00","17.71億",2.53,2.6,"100.00"
"01246","毅信控股","建筑","主板",4000,"23.60","3.86億",0.93,1.09,"100.00"
"02393","巨星國際控股","醫療保健","主板",2500,"7.92","6.21億",1.38,1.58,"50.00"
"01316","耐世特","汽車","主板",1000,"1.10","67.20億",2.8,2.57,"100.00"
"00484","云游控股","軟件服務","主板",100,"312.41","63.98億",51,67.5,"100.00"
"01273","香港信貸","其他金融","主板",4000,"412.97","4.27億",1.03,1.03,"50.02"
"06863","輝山乳業","食品飲料","主板",1000,"12.69","384.69億",2.67,2.59,"100.00"
"01363","中滔環保","公共事業","主板",2000,"7.24","20.45億",1.48,1.33,"100.00"
"01373","國際家居零售","家電家用","主板",1000,"146.55","20.32億",2.81,2.98,"100.00"
"01219","天喔國際","食品飲料","主板",1000,"56.14","65.32億",3.15,3.67,"100.00"
"02183","利福地產","地產","主板",2000,"2.69","8.30億",1.98,2.12,"100.00"
"01271","佳明集團控股","建筑","主板",4000,"177.00","4.44億",1.11,1.1,"100.00"
"01275","開元產業信托","地產","主板",1000,"0.58","27.02億",3.5,3.52,"100.00"
"01250","金彩控股","工用支援","主板",4000,"62.62","2.62億",0.82,0.85,"80.10"
"01680","澳門勵駿","餐飲娛樂","主板",1000,"0.17","146.46億",2.35,2.4,"100.00"
"02112","優庫資源","一般金屬","主板",2000,"0.24","19.50億",1.3,1.21,"100.00"
"01369","五洲國際","地產","主板",2000,"0.57","56.80億",1.22,1.29,"100.00"
"03836","和諧汽車","汽車","主板",500,"1.66","66.53億",6.08,5.1,"100.00"
"01270","朗廷-SS","餐飲娛樂","主板",500,"11.70","100.07億",5,4.54,"100.00"
"02386","中石化煉化工程","石油天然氣","主板",500,"29.31","464.94億",10.5,10.46,"100.00"
"06881","中國銀河","券商信托","主板",500,"29.95","399.47億",5.3,5.62,"100.00"
"01148","新晨動力","汽車","主板",1000,"20.40","28.71億",2.23,2.17,"100.00"
"01319","靄華押業信貸","其他金融","主板",4000,"1086.00","3.92億",0.98,1.31,"30.00"
"02178","百勤油服","石油天然氣","主板",1000,"34.30","34.03億",3.28,4.16,"100.00"
"02033","時計寶","紡織服飾","主板",2000,"651.00","28.08億",1.35,1.38,"50.01"
"02078","榮陽實業","一般金屬","主板",1000,"53.80","49.56億",4.13,3.59,"100.00"
"01348","滉達富控股","家電家用","主板",2000,"721.00","3.60億",1.5,1.66,"30.03"
"01232","金輪天地控股","地產","主板",2000,"81.41","30.28億",1.68,2.04,"100.00"
"00540","迅捷環球控股","紡織服飾","主板",4000,"426.00","4.92億",0.82,1.14,"30.60"
